name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
ERQ0224	Citrobacter sp. RHBSTW-00696	2742662	S	5	19	24	0.12121
ERQ0224	Citrobacter sp. RHBSTW-00887	2742668	S	5	2	7	0.03535
ERQ0224	Citrobacter sp. RHBSTW-00424	2742647	S	4	128	132	0.66667
ERQ0224	Citrobacter sp. RHBSTW-00524	2742653	S	4	1	5	0.02525
ERQ0224	Citrobacter sp. LY-1	2546350	S	4	-3	1	0.00505
ERQ0224	Citrobacter sp. SNU WT2	2562449	S	4	-3	1	0.00505
ERQ0224	Citrobacter freundii	546	S	13	-8	5	0.02525
ERQ0224	Klebsiella pneumoniae	573	S	4	-1	3	0.01515
ERQ0044	Citrobacter freundii complex sp. CFNIH9	2077149	S	135	88	223	0.9177
ERQ0044	Citrobacter freundii	546	S	17	-10	7	0.02881
ERQ0044	Enterobacter roggenkampii	1812935	S	4	3	7	0.02881
ERQ0044	Klebsiella pneumoniae	573	S	4	-1	3	0.01235
GCF_005281345	Citrobacter freundii	546	S	38	7	45	0.40179
GCF_005281345	Citrobacter werkmanii	67827	S	8	-1	7	0.0625
GCF_005281345	Citrobacter youngae	133448	S	7	1	8	0.07143
GCF_005281345	Citrobacter pasteurii	1563222	S	10	1	11	0.09821
GCF_005281345	Salmonella enterica	28901	S	33	6	39	0.34821
GCF_000582615	Citrobacter freundii	546	S	55	13	68	1.0
GCF_005281255	Citrobacter werkmanii	67827	S	32	10	42	1.0
ERQ0169	Citrobacter sp. RHBSTW-00887	2742668	S	18	38	56	0.52336
ERQ0169	Citrobacter sp. RHBSTW-00524	2742653	S	9	18	27	0.25234
ERQ0169	Citrobacter sp. RHBSTW-00599	2742657	S	4	6	10	0.09346
ERQ0169	Citrobacter freundii	546	S	9	3	12	0.11215
GCF_000158355	Citrobacter freundii	546	S	9	0	9	1.0
GCF_005281055	Citrobacter werkmanii	67827	S	53	18	71	0.85542
GCF_005281055	Citrobacter freundii	546	S	11	0	11	0.13253
GCF_002919455	Citrobacter braakii	57706	S	5	18	23	1.0
ERQ0192	Citrobacter freundii complex sp. CFNIH9	2077149	S	83	122	205	0.66343
ERQ0192	Citrobacter freundii	546	S	51	0	51	0.16505
ERQ0192	Citrobacter sp. FDAARGOS_156	1702170	S	4	1	5	0.01618
ERQ0192	Klebsiella pneumoniae	573	S	12	3	15	0.04854
ERQ0192	Klebsiella michiganensis	1134687	S	8	5	13	0.04207
ERQ0192	Escherichia coli	562	S	10	7	17	0.05502
GCF_002918495	Citrobacter sp. RHBSTW-01044	2742678	S	3	1	4	0.16
GCF_002918495	Citrobacter sp. TSA-1	184912	S	2	0	2	0.08
GCF_002918495	Citrobacter sp. RHBSTW-00887	2742668	S	2	0	2	0.08
GCF_002918495	Citrobacter sp. RHBSTW-00881	2742667	S	2	0	2	0.08
GCF_002918495	Citrobacter sp. RHB35-C21	2742626	S	2	0	2	0.08
GCF_002918495	Citrobacter sp. RHBSTW-00986	2742675	S	1	0	1	0.04
GCF_002918495	Citrobacter sp. RHBSTW-00570	2742655	S	1	1	2	0.08
GCF_002918495	Citrobacter sp. RHBSTW-00599	2742657	S	1	0	1	0.04
GCF_002918495	Citrobacter braakii	57706	S	3	0	3	0.12
GCF_002918495	Salmonella enterica	28901	S	1	-1	0	0.0
GCF_005281025	Citrobacter werkmanii	67827	S	51	15	66	0.58407
GCF_005281025	Citrobacter freundii	546	S	14	0	14	0.12389
GCF_005281025	Citrobacter sp. RHBSTW-00599	2742657	S	7	7	14	0.12389
GCF_005281025	Enterobacter hormaechei	158836	S	6	11	17	0.15044
DB_5_F12	Citrobacter freundii	546	S	103	81	184	0.57321
DB_5_F12	Klebsiella pneumoniae	573	S	19	21	40	0.12461
DB_5_F12	Klebsiella michiganensis	1134687	S	8	4	12	0.03738
DB_5_F12	Escherichia coli	562	S	24	47	71	0.22118
DB_5_F12	Enterobacter hormaechei	158836	S	5	7	12	0.03738
